contents,aug,contentsId,likecount,showTime,tv_name,uid,context,aug_context,label2,label7
完了感觉我被埋了,感觉就像我被埋葬了,2020/6/19 13:27,85,1336,1,2395032766,好有代入感觉自己已经被埋了；摄影机桥豆麻袋；干嘛往我脸上泼土；摄影师我还没出来呢,我觉得我被埋葬了；相机桥豆袋；为什么要往我脸上撒污垢；摄影师：我还没出来,1,3
跟他爹一样为了兄弟打架,像他父亲一样，他为哥哥而战,2020/6/25 19:32,11,213,8,1351130502,啊老陈带表了；是这个大叔死了吧他戴表了；老陈别死啊；老陈不可以走啊,啊，老陈把手表带来了；这位叔叔死了吗？他戴着一只手表；老陈，不要死；老陈不能去,1,3
这时长有点不友好啊,现在有点不友好,2020/6/23 23:12,8,64,7,2511760435,这个人出现过吗；怎么这集这点时间；海报最左边的人；时长是为了配合剧情节奏,这个人出现过吗；为什么这一集这么长；海报最左边的人；持续时间与剧情节奏相匹配,1,5
小朋友们太瘦了,孩子们太瘦了,2020/6/18 15:36,30,328,0,1353887391,这事还真的蛮多的；现实比这厉害的多了；好真实啊我吐了；这些人都这么瘦的吗,这有很多；现实比这更强大；它是如此真实。我吐了；这些人这么瘦吗,1,1
好镜头导演不错,好球。好导演,2020/6/24 20:12,6,2532,6,1675918163,两个封面人物相遇了；阴乐开始了；配乐绝了；两大主演会师,两个封面人物相遇；阴乐开始；配乐很棒；两位主要演员联手了,1,4
教材全解二年级的,教材：完全理解二年级,2020/6/24 21:02,67,1854,6,1342386018,已经做出选择了没有童话；普眼睛真大真圆；这女孩害人的心机太重了；好家伙教材全解来了,我已经做出了选择。没有童话；蒲的眼睛真的又大又圆；这个女孩有太多伤害他人的计划；天哪，所有的课本我都拿到了,1,2
爬山去了吗,你去爬山了吗,2020/6/20 11:44,30,3510,0,1217725367,演技都很好但感太强了；这个年纪懂事的让人心疼；三个人要看到命案了吗；还好朋友没有背叛他,演技很好，但感觉太强；在这个年龄明智是很痛苦的；有三个人想看谋杀案；幸运的是，他的朋友没有背叛他,1,1
高光的一念之间,在高光的思想之间,2020/6/22 23:44,25,1043,3,1255340944,看的好心疼；两个都是好孩子；普的穿搭还不错诶；人之初性本善,看到它很痛；他们都是好孩子；蒲的风格不错；人的天性是天生的,1,4
有说有笑真佩服心里太强大了,我真佩服你的谈笑风生。你太坚强了,2020/6/29 21:55,65,509,3,1394028226,秦昊演的真不错；三十万真的是太多了；秦昊和伊能静长得太像了；救命秦昊太有魅力了,秦昊表演得真不错；三十万真是太多了；秦昊和易能静长得很像；帮助秦昊是如此迷人,1,1
啊我好喜欢张东升啊,啊，我非常喜欢张东生,2020/6/25 12:09,57,1717,8,2469484989,艺高人胆大啊张老师；这是他俩第一场戏吗；艺高人胆大哈；别怕老师帮你解决了,张先生，你怎么敢；这是他们的第一部戏吗；艺术专家很大胆；别害怕，老师会帮你解决的,2,7
看到这句话我就知道肯定没彩蛋了,看到这句话，我知道一定没有鸡蛋,2020/6/20 14:53,5,2148,10,2681757387,无语这剧情还崩的是看多了甜宠剧弄个全员复活大团圆给你乐呵；剧情哪里不合理了；为了一个欣值得吗；严良咋死的啊,无言以对：情节仍在继续。我已经看了太多甜蜜的最爱的戏剧，我会让所有的人重获新生，并有一个快乐的团聚；剧情怎么了；这值得为一种乐趣吗；颜亮是怎么死的,1,5
这背景音乐好听,背景音乐听起来不错,2020/6/16 20:38,55,4131,0,1679856847,严良黑的很入感；你没看我还有机会吗；可是贾宝玉是真的喜欢沙僧啊；每一个细节都拍得好精致,颜良黑：非常令人印象深刻；你没看到我还有机会吗；但是贾宝玉真的很喜欢沙和尚；每一个细节都做得非常精细,1,4
陈警官好可爱啊,陈警官真可爱,2020/6/24 13:08,239,1172,5,5.04E+14,越来越有大棍子的感觉；老陈演技真不错；上瘾的手机铃声啊；又自作主张了,越来越像一根大棒；老陈的演技真不错；上瘾铃声；它又独立了,1,4
朱自己复制了保自己,为了保护自己，朱自己复制了它,2020/6/22 22:39,317,340,10,2175044249,朱早就变成了三个人的主心骨；搞得我暂时不想吃海鲜了冷库；严良是最单纯的；这句话说得特别好,朱镕基早已成为三人的中坚力量；所以我暂时不想要海鲜（冷藏）；颜亮是最简单的；这是一句很好的谚语,1,1
普遇事沉着冷静,当事情发生时，普很平静,2020/6/20 3:37,122,675,2,2441551757,普真的是个狠人啊；普太冷静了吧；这小女孩真的不简单；这个小女孩好镇静啊,普真是个残忍的人；普：你太冷静了；这个小女孩真的不容易；这个小女孩很平静,1,1
一家人就要齐整,全家都会井然有序,2020/6/21 17:27,172,1025,10,1478923647,朱爸不该领盒饭；回不去了废了；我居然超神了；普不算吧,朱先生不应该收到盒饭；我不能回去了。没用；我超级棒；普：不是,1,1
咬了但就是意外啊,有点，但这是一个意外,2020/6/24 16:51,16,1576,2,2725784681,哦他闺女是那个班里第二；有女儿的男人都是女儿奴；又是一个单亲；还要带孩子真不容易,哦，他女儿是那个班的第二名；有女儿的男人是女儿的奴隶；另一个单亲家长；照顾孩子不容易,1,2
这是有接班人了,有一个继承人,2020/6/21 16:56,151,1255,11,1368806673,在训练以后这位更厉害；精神导师；你爸让你做一个好人；扎出个心形图,经过训练，这个更强大；精神导师；你父亲让你成为一个好人；做一个心脏图,1,2
不嫁很好的这件事考验了这个人,不结婚是件好事，这考验了这个男人,2020/6/23 17:17,5,1121,5,1721340985,对于女人来说果然还是孩子最靠得住；跟第二名的爸在一起就完美了；男人是不是都喜欢偷女人公开了却分手了；她妈真不容易,对女人来说，孩子是最可靠的；爸爸，和第二名在一起太好了；男人喜欢偷窃吗？女人在开口时会分手吗；这对她母亲来说不容易,1,3
他爸是那个油嘴滑舌的,他父亲是个油嘴滑舌的人,2020/6/22 10:11,3,2483,0,1297163607,小女孩其实发现了但是没说；不错；他妹死难道不是意外吗；这孩子太厉害了长大不得了用头发,小女孩真的找到了，但没有说出来；不错；他妹妹的死不是意外吗；这个孩子太强壮了，不能长大。他用他的头发,1,3
好家伙东升才是你爸吧,男孩，东升是你父亲，不是吗,2020/6/23 23:48,375,1785,8,1217056868,奇妙的感觉；喜欢大小狼联手在一起吧；大小王的对决；好细节外面暴雨他衣服湿的,美妙的感觉；像大小狼一样，携手；大小国王之间的决斗；好的细节。外面雨下得很大。他的衣服是湿的,1,3
妈呀第一集就爬山了,天哪！第一集是爬山,2020/6/21 0:07,225,53,0,1370573666,天呐一集一个多小时；时长确实给力；看片花感觉不错哈；我帮你摆造型啊,哦，天哪。一集持续一个多小时；持续时间真是太棒了；看预告片感觉很好，嗯；让我给你摆个姿势,1,1
喝你个大脚指头,喝你的大手指,2020/6/19 20:45,121,400,3,1475617139,真的单纯；还是严良警惕性高稳得很；东叔长大后我就成了你；无证之罪秦昊演的人叫严良,真的很简单；严亮仍然保持警惕和稳定；董大叔，我长大后会和你在一起；无证据犯罪：秦昊饰演阎亮,1,3
是个好演员,他是个好演员,2020/6/18 8:40,42,505,1,1310458264,论发型的重要；学理科的后果；配乐真的背景阴乐；这秃头挺自然的,论发型的重要性；学习科学的后果；背景音乐真的是阴音乐；这个秃头很自然,1,4
丢你楼母你食中华,失去你的建筑母亲，吃中国,2020/7/4 16:30,3,602,7,1309758384,最烦这种说话阴阳怪气；希望孩子们可以藏好吧；王清本清；后妈这套衣服好港风,最让我烦恼的是，这样的演讲很奇怪；我希望孩子们能藏好；王庆本庆；继母：这套西装很香港风格,1,3
配乐太棒了真的一万个赞,配乐很棒。真的有一万个喜欢,2020/6/19 12:05,27,179,4,1621727235,这个配乐一响我就害怕；阴乐一响黄金万两；配乐才是本剧主角；音乐太棒了,比分一响，我就害怕了；《音韵》价值万两黄金；配乐是该剧的主角；音乐很棒,1,4
这一天的能不能整点阳间的东西,我们今天能在阳光下拿些东西吗,2020/7/14 23:15,0,2062,2,2275395795,还好是白天这一嗓子叫的；片尾曲真是不带重样的；叫什么叫想吓死宝吗；强联手这是要,幸运的是，是在白天；结尾的歌真的没有重复；你叫什么名字？你想把包吓死吗；强大的联盟，这是,1,5
蹦迪夜场开始了吗,迪斯科舞厅开始了吗,2020/6/19 16:23,848,556,8,2542573262,孩子演技真绝好；里面坏人太多了；老陈比亲爸都爱你；三个小演员演的真好,这孩子的表演真是太棒了；里面有太多坏人了；老陈爱你胜过爱他的父亲；三个小演员表演得很好,2,7
时长是看心情的吗这么随意,持续时间取决于情绪吗？太随意了,2020/6/24 21:07,4,134,7,5.56E+14,局外人没活过一集；刚那人是欣；时长这么任性的吗；你们花钱买的,局外人从未经历过一段插曲；刚才那个人是辛；持续时间如此反复无常吗；你付了钱,1,5
多取七毛八是啥意思,多收78美分意味着什么,2020/6/24 23:32,8,1107,6,1507651037,找对方的把柄互相牵制；台词绝了；还看电视心真大；注意细节的人好可怕啊,找到另一侧的句柄以包含彼此；台词很好；看电视太难了；注重细节的人是可怕的,2,7
其实他是真的爱她,事实上，他真的爱她,2020/7/6 20:14,13,3358,5,1722259703,死亡提问；他爱她才杀父母；给你机会你不中用啊；这演技真的很棒,死亡问题；他杀了他的父母，因为他爱她；给你一个机会是没有用的；这个表演真的很棒,1,1
女儿太像她妈了,我女儿很像她的母亲,2020/6/24 13:23,61,283,4,2377858404,你女儿死的太活该了；这种人就是这样典型的后妈体质加被害妄想症；小妈不讲理；你对人儿子好点你能有这种想法,你女儿活该死；这种人是典型的继母，有被杀的错觉；我妈妈不讲理；你应该对你儿子好一点。你有这样的想法吗,1,3
时长是不是有点,有点长吗,2020/6/23 12:32,6,12,2,1502223911,时长怎么差这么多；这个时长我不满意了；怎么一集要比一集段那；这剧真心不错,为什么持续时间有这么大的差异；我对这段时间不满意；为什么一集比一集更重要；这出戏真的很好,1,5
这个叶警官好聪明,叶警官真聪明,2020/6/26 18:29,94,665,11,3.22E+14,我居然不想他被抓；叶警官观察能力强啊；没有注意格列美脲胶囊么；卢芳生有点像杜江,我不想让他被抓住；叶警官非常善于观察；你没注意到格列美脲胶囊吗；陆方生有点像杜江,1,1
这么一说长得还真有点像袁春旺,据说他长得有点像袁春旺,2020/6/26 16:37,63,1991,10,1374909689,力气好大啊；这孩子长大会不会像张东升一样；是我就直接搬箱子垫高；这小子也不是个好东西,多么强大；这个孩子会像张东生那样长大吗；如果是，我将直接提起箱子；这孩子不是个好东西,1,5
时间久了距离就疏远了,随着时间的推移，距离变得遥远,2020/7/2 9:31,32,2867,0,2023620912,太真实了演技真的；这孩子好可爱啊；这个宝贝太可爱了；单亲的孩子谨慎的让人心疼,它是如此真实。表演是真实的；这个孩子多可爱啊；这个婴儿真可爱；单亲家庭的孩子非常谨慎,1,3
张老师还挺不容易的,张老师：这不容易,2020/7/5 11:52,8,775,9,2243197729,谁玩逃跑吧少年；那真的太绝了肯定是传奇；都成为好朋友了都；突然感觉好温馨,谁在玩逃跑游戏，孩子；那太棒了。这一定是一个传奇；成为好朋友；突然，我感到很温暖,1,3
严良这智商,颜亮的智商,2020/6/26 0:09,11,299,10,2217781912,这严良就是个憨；智商是个好东西；普已经死了吧；严良属实莽夫无脑代表,颜亮是个傻瓜；智商是一件好事；普死了，不是吗；颜亮是“无脑人”的真正代表,1,1
吃什么面吃海鲜,什么样的面条？海鲜,2020/6/23 10:29,55,745,9,1782005611,没有绝对的好人和坏人；他弟已经冻结实了；这个母亲也不容易啊；好真实啊这剧这支笔绝了,没有绝对的好人或坏人；他的兄弟被冻僵了；做母亲不容易；它是如此真实。这出戏是一部杰作,1,2
爸儿子你出卖我,爸爸，儿子，你背叛了我,2020/6/22 21:11,103,1887,8,2051061015,好的再来一单；普是不是已经被杀了；就冲这句话五杀来了；爸也要领便当了,好的，再来一份；普被杀了吗；就为了这句话，五个人被杀了；爸爸也想去吃午饭,1,3
无证之罪来了哈,没有证据的犯罪就要来了,2020/6/21 13:11,99,1864,11,1250799658,我觉得啊；后来就有了无证之罪；老陈的眼睛好妙；我呢我不是没死吗,我想；后来，没有证据的犯罪；老陈有一双漂亮的眼睛；那我呢？我没有死吗,1,1
唯一部连片尾曲都不放过的,唯一一个不会放弃电影结局的人,2020/6/26 14:06,15,3067,9,1658442004,一开口就听到最后；这个歌好听啊；普顶她弟名字她才是欣最大的说谎者；普,我一开口，就听到了最后一声；这首歌听起来不错；蒲丁是她哥哥的名字。她是辛最大的骗子；普遍的,1,4
干净的礼物,干净礼物,2020/7/11 17:57,13,1504,3,2012995114,没买墨水；真的是好妈呀；提上袜子不认人我笑喷了；这友谊真让人感动,我没有买墨水；多么好的母亲啊；我穿上袜子时笑了；这段友谊真的很感人,1,1
二刷我来了,第二刷，我来了,2020/6/22 23:06,11,2293,11,1291889612,我已经无法直视儿童了；这波很值看懂了的人自然觉得值；每个人都有童年的秘密；童话是演的现实是只有朱活了下来并且撒谎了,我再也不能直接看孩子了；这波浪是值得的。理解它的人自然会觉得它是值得的；每个人都有一个童年的秘密；童话故事在上演，但现实是只有朱活了下来并撒谎,2,7
还是亲妈好哄啊哈,最好哄你妈妈，是吧,2020/6/24 22:25,142,1258,9,8.17E+14,结束前一定让我看欣长啥样；有被张东升暖到了嘻；这儿子真好来报恩的；太懂事的孩子背负得太多,在结束之前，请让我看看辛是什么样子；是的，我被张东生感动了；儿子报答他的好意真是太好了；太聪明的孩子携带太多东西,1,1
转场太棒了,这一转变是伟大的,2020/7/14 22:20,0,3546,5,2193190884,这对比绝了；唱一首歌死一个人；我去真上西天了；这转场有点绝啊,这是一个惊人的对比；唱一首歌，像个男人一样死去；我真的去了西部；这种转变有点惊人,1,4
这个老头三个影帝在身,这位老人有三位电影明星,2020/6/24 22:27,53,1948,5,1292667661,包子是无辜的；竟然没意识到自己在干坏事；他爸不会是缉毒卧底吧；奇怪的增加了,包子是无辜的；他没有意识到自己在做坏事；他父亲不可能是个毒品侦探，对吧；奇怪的增长,1,5
用他的钱给他买礼物哈,用他的钱给他买礼物，嗯,2020/6/19 1:39,27,972,3,1758491380,这俩很好；真的好纯真自己都吃不上饭也要给买礼物；拿人家的钱送人家；钢笔是伏笔后面会出现的,这两个很好；我很无辜。我甚至不能吃，我必须买一份礼物；给人钱；笔将出现在铺垫之后,1,1
真的哎好像是英文版小白船,真正地啊，好像是英文版的“小白船”,2020/6/28 15:11,4,2646,6,1730502699,连厨房厨师都有写出来；还是穷人多三块钱也要说；片尾连厨师名字都写厉害了；厉害咯片尾都这么好听,连厨房厨师都写了下来；他还是个穷人，多3块钱；在电影结尾，连厨师的名字都写得很好；太棒了！电影的结尾太美了,1,5
牛奶喝得好,这牛奶味道很好,2020/6/26 13:18,5,1438,9,1601772057,其实是个好爸；好家伙这还没你高；本来就比你高；头发不能算啊,事实上，他是个好父亲；男孩，这没有你那么高；我比你高；头发不算数,1,2
王瑶越让人恨说明演的越好,王瑶越是被人恨，她打得就越好,2020/7/6 11:48,64,1063,4,1382084750,演的就是这几个孩子怎么就戏份多了；普的弟真的活着吗怎么那么天真啊；爸也怀疑了；看过白夜行吗哪里像了,是这些孩子在玩。为什么这么多；普的哥哥真的还活着吗？他为什么这么天真；爸爸也怀疑；你看到白色夜线了吗？它是什么样子的,1,3
还真给钱了,你真的给了我钱,2020/6/24 0:56,73,1934,8,1649559463,真给钱了啊；能拿钥匙就行没必要杀他爸；叶驰敏的危机意识可是救了她；还没拍完你们当然还不能走了,你真的给了我钱；拿着钥匙。没有必要杀他的父亲；叶志敏的危机感救了她；当然，在我们完成拍摄之前你不能离开,1,1
这时长一般人学不来,在这个时候，普通人无法学习,2020/6/25 16:18,24,70,0,181688669,这时长太良心了；秦昊果然适合演坏人；好良心个多小时；这时常是真舒服,这时，张太认真了；秦昊真的很适合演坏人；问心无愧，一个多小时；它总是那么舒服,1,5
这个妈控制欲太强了啊,这位母亲很有控制力,2020/6/22 12:38,119,552,9,2510595858,孩子太不容易了；这妈说的确实；妈占有欲太强了；这妈控制欲极强,这对孩子来说不容易；妈妈说的是真的；妈妈占有欲太强了；这位母亲很有控制力,1,3
这样热牛奶都没营养了,这种热牛奶没有营养,2020/6/19 10:45,20,36,5,2192397986,时长是要卡悬疑的点好吗；哟这集时长我爱了；时长好随意；迷之时长,持续时间就是悬念点，好吗；哦，我喜欢这一集的长度；持续时间非常随意；迷恋持续时间,1,2
这个演技是真的好厉害啊,这种演技真是太棒了,2020/6/16 21:12,28,2652,0,1810351987,一集这么长看着好过瘾；千万别被偷；不要对单亲家庭的孩子有色眼光好吧；这看牌太真实了,这是一个很长的插曲。观看是如此的愉快；不要被偷；不要用有色眼睛看单亲家庭的孩子，好吗；这张卡片太真实了,1,4
绝对的良心好剧,绝对良心戏剧,2020/6/24 18:32,41,42,0,2391064115,一代更比一代强；国产也不错了加油；这迷人的时长电影吧；分手后还是追剧香啊,一代比另一代好；国产产品也不错。来吧；这部迷人的长电影，对吧；分手后，我们仍然追求戏剧的芬芳,1,4
